city,state,lat,lon,score,currCity,currState,currLat,currLon
Warren,VT,44.112005,-72.855947,13,Warren,VT,44.112005,-72.855947
Pompano,FL,27.268271,-80.205928,17,Pompano,FL,27.268271,-80.205928
Cicero,IL,41.845712,-87.749015,15,Chicago,IL,41.880709,-87.627758
Gretna,LA,29.914649,-90.05396,16,Fort Knox,KY,37.883664,-85.965269
Minneapolis,MN,44.980793,-93.270761,5,St. Paul,MN,44.955927,-93.096675
New Kensington,PA,40.569789,-79.76477,12,Flinton,PA,40.71423,-78.519744
Yakima,WA,46.602071,-120.505899,1,Yakima,WA,46.602071,-120.505899
Allentown,PA,40.60843,-75.490183,12,Allentown,PA,40.60843,-75.490183
Pittsburgh,PA,40.440035,-80.000821,3.5,Pittsburgh,PA,40.440035,-80.000821
Trenton,NJ,40.217053,-74.742938,6,Edison,NJ,40.518715,-74.412095
Los Angeles,CA,34.054841,-118.24262,7.83,Los Angeles,CA,34.054841,-118.24262
Warwick,RI,41.700101,-71.416167,10,Vero Beach,FL,27.638643,-80.397274
Raleigh,NC,35.77959,-78.638179,11,Raleigh,NC,35.77959,-78.638179
Erie,PA,42.129224,-80.085059,13,Fairview ,PA,42.031446,-80.255341
Barrington,IL,42.153914,-88.136189,14,Plano,IL,41.662808,-88.53702
Bronxville,NY,40.938154,-73.832078,13,Bronxville,NY,40.938154,-73.832078
Colorado Springs,CO,38.833882,-104.821363,5,Colorado Springs,CO,38.833882,-104.821363
Eunice,LA,30.494367,-92.417632,5,Eunice,LA,30.494367,-92.417632
Bedford Township,MI,41.760608,-83.588514,11,Bedford Township,MI,41.760608,-83.588514
Stockton,CA,37.956849,-121.296304,13,Stockton,CA,37.956849,-121.296304
Seffner,FL,27.983633,-82.275647,17,Vancouver,WA,45.640143,-122.671376
Reston,VA,38.958631,-77.357003,16,Madison,WI,43.073052,-89.40123
Canton,GA,34.236762,-84.490762,10,Canton,GA,34.236762,-84.490762
Railroad Flat,CA,38.343247,-120.512148,16,San Andreas,CA,38.19603,-120.680487
Carol Stream,IL,41.912529,-88.134793,10,Chicago,IL,41.879319,-87.636791
Denver,CO,39.740025,-104.984869,12.5,Denver,CO,39.740025,-104.984869
Andalusia,AL,31.308504,-86.483291,10,Enterprise,AL,31.315171,-85.855216
Atlanta,GA,33.751422,-84.390997,9.57,Atlanta,GA,33.751422,-84.390997
Payson,UT,40.044399,-111.732152,8,Santaquin,UT,39.97551,-111.785211
Dallas,TX,32.777871,-96.791385,11,Dallas,TX,32.777871,-96.791385
South Bend,IN,41.676355,-86.25199,16,Chicago,IL,41.87558,-87.62765
Kent,WA,47.380933,-122.234843,10,Bremerton,WA,47.56732,-122.632936
Pottsville,PA,40.685646,-76.195499,12,Pottsville,PA,40.685646,-76.195499
Islip,NY,40.729821,-73.210393,9,Islip,NY,40.729821,-73.210393
Livingston,NJ,40.786287,-74.330084,16,Parsippany,NJ,40.865287,-74.417388
Eden,NC,36.488472,-79.766703,17,High Point,NC,35.955692,-80.005318
Marathon,FL,24.726026,-81.044626,11,Boca Raton,FL,26.368306,-80.128932
Chicago,IL,41.878264,-87.624346,13.33,Somerville,MA,42.387597,-71.099497
Charleston,SC,32.776475,-79.931051,15,Myrtle Beach,SC,33.68906,-78.886694
Des Moines,IA,41.600545,-93.609106,6,Washington,DC,38.908925,-77.042978
Bakersfield,CA,35.373292,-119.018712,12,Bakersfield,CA,35.373292,-119.018712
Renton,WA,47.482878,-122.217066,9,Bellevue,WA,47.610377,-122.200679
Tampa,FL,27.950575,-82.457178,12,Tampa,FL,27.950575,-82.457178
Fort Worth,TX,32.757031,-97.33287,5,Fort Worth,TX,32.757031,-97.33287
Pueblo,CO,38.254447,-104.609141,16,Pueblo,CO,38.254447,-104.609141
Hinesville,GA,31.846877,-81.595945,14,Queens ,NY,40.728224,-73.794852
Easton,ME,46.641089,-67.909885,0,Easton,ME,46.641089,-67.909885
Atlanta,GA,33.751582,-84.39428,9.57,Atlanta,GA,33.751582,-84.39428
Traverse City,MI,44.763057,-85.620632,17,Merrill,MI,43.40975,-84.328878
Orange,CA,33.787794,-117.853112,7,Orange,CA,33.787794,-117.853112
Bloomington,IN,39.165325,-86.526386,8,Kissimmee,FL,28.291956,-81.407571
Williamsport ,PA,41.24119,-77.001079,6,Penasco,NM,36.17048,-105.687466
Franklin,KY,36.722263,-86.577218,7,Dearing,KS,37.058688,-95.713312
Orlando,FL,28.538335,-81.379236,15,Orlando,FL,28.538335,-81.379236
Houston,TX,29.760427,-95.369803,12,Houston,TX,29.760427,-95.369803
Lake Worth,FL,26.616756,-80.068448,3,Port St. Lucie,FL,27.273049,-80.358226
Williamsport ,PA,41.239476,-77.000996,6,Williamsport ,PA,41.239476,-77.000996
Jasper,AL,33.831218,-87.277505,0,Jasper,AL,33.831218,-87.277505
